"FullName,""LastWriteTime"",""Length"""
"\\node1w8308\e$\Qlik\test_file1.qvf,""11/5/2020 7:59:02 PM"",""7197425664"""
"\\node1w8308\e$\Qlik\Fin_PT\Global Datastore\1_Extract\SP_File_ID.qvd,""10/18/2023 7:01:01 AM"",""5509"""
